Constituency,No,Name,Gender,Category,Party,General Vote,Postal Vote,Total,PctVotes
Mekliganj,1,ADHIKARY PARESH CHANDRA,M,SC,AIFB,71622,418,72040,48.89
Mekliganj,2,JAYANTA KUMAR RAY,M,SC,INC,39343,65,39408,26.74
Mekliganj,3,SUNIL CHANDRA RAY,M,SC,IND,23503,37,23540,15.97
Mekliganj,4,SUBHASH BARMAN,M,SC,BJP,3708,5,3713,2.52
Mekliganj,5,JYOTISH ROY,M,SC,BSP,3358,1,3359,2.28
Mekliganj,6,PRAMILA ROY,F,SC,SUCI,2589,4,2593,1.76
Mekliganj,7,PURNENDU ROY,M,SC,IND,1473,1,1474,1.0
Mekliganj,8,RATAN BARMAN,M,SC,AMB,1229,1,1230,0.83
Mathabhanga,1,BINAY KRISHNA BARMAN,M,SC,AITC,77902,347,78249,46.46
Mathabhanga,2,ANANTA ROY,M,SC,CPM,72298,627,72925,43.3
Mathabhanga,3,SUSHIL BARMAN,M,SC,BJP,11300,8,11308,6.71
Mathabhanga,4,MANTU BARMAN,M,SC,IND,2918,1,2919,1.73
Mathabhanga,5,TILAK CHAND BARMAN,M,SC,BSP,1951,3,1954,1.16
Mathabhanga,6,HARE KRISHNA SARKAR,M,SC,RPI,1078,1,1079,0.64
Cooch behar Uttar,1,NAGENDRA NATH ROY,M,SC,AIFB,84120,705,84825,45.11
Cooch behar Uttar,2,PRASENJIT BARMAN,M,SC,AITC,82234,394,82628,43.94
Cooch behar Uttar,3,MALATI RAVA(RAY),F,SC,BJP,12596,12,12608,6.71
Cooch behar Uttar,4,NIRMAL KUMAR ROY,M,SC,IND,4744,1,4745,2.52
Cooch behar Uttar,5,RATAN BARMAN,M,SC,IND,1883,0,1883,1.0
Cooch behar Uttar,6,KULEN DAS,M,SC,IND,1343,0,1343,0.71
Cooch behar Dakshin,1,AKSHAY THAKUR,M,GEN,AIFB,71060,968,72028,47.04
Cooch behar Dakshin,2,ABDUL JALIL AHMED,M,GEN,AITC,68719,446,69165,45.17
Cooch behar Dakshin,3,GAYETRI KAR,F,GEN,BJP,6410,9,6419,4.19
Cooch behar Dakshin,4,SANAT SEN,M,GEN,IND,2207,0,2207,1.44
Cooch behar Dakshin,5,SHYAMAL CHANDRA BARMAN,M,SC,IND,1277,0,1277,0.83
Cooch behar Dakshin,6,PRAHLAD CHANDRA DATTA,M,GEN,IND,745,0,745,0.49
Cooch behar Dakshin,7,KRISHNA KANTA BARMAN,M,SC,IND,684,1,685,0.45
Cooch behar Dakshin,8,CHANCHAL SARKAR,M,GEN,PDCI,589,0,589,0.38
Sitalkuchi,1,HITEN BARMAN,M,SC,AITC,84525,126,84651,44.22
Sitalkuchi,2,BISWANATH PRAMANIK,M,SC,CPM,84062,332,84394,44.08
Sitalkuchi,3,BHABENDRA NATH BARMAN,M,SC,BJP,8822,7,8829,4.61
Sitalkuchi,4,SUBAL BARMAN,M,SC,JMM,6000,0,6000,3.13
Sitalkuchi,5,DWIJENDRA NATH BARMAN,M,SC,IND,3544,3,3547,1.85
Sitalkuchi,6,GOUTAM BARMAN,M,SC,BSP,2368,1,2369,1.24
Sitalkuchi,7,SUBODH BARMAN,M,SC,AMB,1662,1,1663,0.87
Sitai,1,KESHAB CH. RAY,M,SC,INC,79624,167,79791,46.67
Sitai,2,DIPAK KUMAR ROY,M,SC,AIFB,77903,311,78214,45.75
Sitai,3,BROJO GOBINDA BARMAN,M,SC,BJP,5182,3,5185,3.03
Sitai,4,BHAJAN BISWAS,M,SC,IND,2904,0,2904,1.7
Sitai,5,ANIL CHANDRA BARMAN ROY,M,SC,SUCI,2035,0,2035,1.19
Sitai,6,GOUTAM BARMAN,M,SC,IND,1613,0,1613,0.94
Sitai,7,TAPAS BARMAN,M,SC,IND,1220,0,1220,0.71
Dinhata,1,UDAYAN GUHA,M,GEN,AIFB,92220,830,93050,50.52
Dinhata,2,DR. MD. FAZLE HAQUE,M,GEN,IND,62767,257,63024,34.22
Dinhata,3,AMIYA KUMAR SARKAR,M,GEN,NCP,13052,41,13093,7.11
Dinhata,4,NIRANJAN BARMAN,M,SC,BSP,4135,0,4135,2.25
Dinhata,5,SUDHANGSHU KUMAR ROY,M,SC,BJP,3958,6,3964,2.15
Dinhata,6,CHAYAN ROY,M,SC,IND,2610,0,2610,1.42
Dinhata,7,MAYAMANA KHATUN,F,GEN,IPFB,1903,0,1903,1.03
Dinhata,8,GOUTAM BARMAN,M,SC,IND,1753,0,1753,0.95
Dinhata,9,NARAYAN BARMAN,M,SC,JD(U),652,0,652,0.35
Natabari,1,RABINDRA NATH GHOSH,M,GEN,AITC,81532,419,81951,47.56
Natabari,2,TAMSER ALI,M,GEN,CPM,73726,660,74386,43.17
Natabari,3,UTPAL DEB,M,GEN,BJP,9916,7,9923,5.76
Natabari,4,SIDDIK UDDIN BEPARI,M,GEN,IND,2972,0,2972,1.72
Natabari,5,GIRINDRA NATH BARMAN,M,SC,RPI,1867,0,1867,1.08
Natabari,6,PRODYUT KUMAR DEY,M,GEN,IND,1197,0,1197,0.69
Tufanganj,1,ARGHYA ROY PRADHAN,M,SC,AITC,73386,335,73721,45.02
Tufanganj,2,DHANANJOY RAVA,M,ST,CPM,66855,684,67539,41.24
Tufanganj,3,BIMAL KUMAR SARKAR,M,SC,BJP,17210,10,17220,10.52
Tufanganj,4,SIBEN BARMAN,M,SC,IND,2817,0,2817,1.72
Tufanganj,5,GANESH DAKUA,M,SC,IND,2463,0,2463,1.5
Kumargram,1,DASRATH TIRKEY,M,ST,RSP,71187,358,71545,40.84
Kumargram,2,JOACHIM BAXLA,M,ST,AITC,58841,123,58964,33.66
Kumargram,3,VINAY KUMAR MINJ,M,ST,JMM,18783,1,18784,10.72
Kumargram,4,HOPNA SOREN,M,ST,BJP,12482,6,12488,7.13
Kumargram,5,HIRA CHARAN NARJINARI,M,ST,IND,4678,9,4687,2.68
Kumargram,6,SANJIB KUMAR NARJINARI,M,ST,IND,2960,0,2960,1.69
